Location_Name,Located_City,Location,Location_Type,Avg_Rating,AI_Context
Lanka Ceramic,Colombo-03,"NO.696,GALLE ROAD, COLOMBO-03",Tourist Shops,,"Lanka Ceramic is a Tourist Shops located in Colombo-03. Address: NO.696,GALLE ROAD, COLOMBO-03."
Oak Ray Silk Gallery,Kandy,"NO. 09, DEVENI RAJASINGHE MAWATHA, GATAMBE, KANDY",Tourist Shops,,"Oak Ray Silk Gallery is a Tourist Shops located in Kandy. Address: NO. 09, DEVENI RAJASINGHE MAWATHA, GATAMBE, KANDY."
Oak-Ray Wood Carving,Kandy,"NO. 09, DEVANI RAJASINGHE MAWATHA,GETAMBE,KANDY",Tourist Shops,,"Oak-Ray Wood Carving is a Tourist Shops located in Kandy. Address: NO. 09, DEVANI RAJASINGHE MAWATHA,GETAMBE,KANDY."
Premadasa Souvenirs,Colombo 03,"NO. 560,GALLE ROAD,COLOMBO 03",Tourist Shops,,"Premadasa Souvenirs is a Tourist Shops located in Colombo 03. Address: NO. 560,GALLE ROAD,COLOMBO 03."
Wijaya Gems,Colombo 03,"NO. 730, GALLE ROAD, COLOMBO 03",Tourist Shops,,"Wijaya Gems is a Tourist Shops located in Colombo 03. Address: NO. 730, GALLE ROAD, COLOMBO 03."
Lanqueens Gems &Jewelers,Aluthgama,"T LANE, KALUWAMODERA, ALUTHGAMA",Tourist Shops,,"Lanqueens Gems &Jewelers is a Tourist Shops located in Aluthgama. Address: T LANE, KALUWAMODERA, ALUTHGAMA."
Zam Handicraft,Colombo 04,"NO. 81, GALLE ROAD, COLOMBO 04",Tourist Shops,,"Zam Handicraft is a Tourist Shops located in Colombo 04. Address: NO. 81, GALLE ROAD, COLOMBO 04."
Zam Handicraft,Kandy,"NO. 548, PERADENIYA ROAD, KANDY",Tourist Shops,,"Zam Handicraft is a Tourist Shops located in Kandy. Address: NO. 548, PERADENIYA ROAD, KANDY."
Zam Handicraft,Colombo 01,"COLOMBO HILTON,COLOMBO 01",Tourist Shops,,"Zam Handicraft is a Tourist Shops located in Colombo 01. Address: COLOMBO HILTON,COLOMBO 01."
Silk Gardens,Kandy,"NO. 935, FIRST FLOOR, PERADENIYA ROAD, KANDY",Tourist Shops,,"Silk Gardens is a Tourist Shops located in Kandy. Address: NO. 935, FIRST FLOOR, PERADENIYA ROAD, KANDY."
Batik Collection,Kandy,"NO.173 A1/1 (NEW # 171/1/1 RAJAPIHILLA MW,KANDY",Tourist Shops,,"Batik Collection is a Tourist Shops located in Kandy. Address: NO.173 A1/1 (NEW # 171/1/1 RAJAPIHILLA MW,KANDY."
Ceygems Internatiional -Kandy,Kandy,"NO.673, PERADENIYA ROAD, KANDY",Tourist Shops,,"Ceygems Internatiional -Kandy is a Tourist Shops located in Kandy. Address: NO.673, PERADENIYA ROAD, KANDY."
Unixings,Colombo 03,"208,R.A DE MEL MAWATHA,COLOMBO 03",Tourist Shops,,"Unixings is a Tourist Shops located in Colombo 03. Address: 208,R.A DE MEL MAWATHA,COLOMBO 03."
Island Batiks,Matale,"NO. 79/5, TRINCOMALE STREET, MATALE",Tourist Shops,,"Island Batiks is a Tourist Shops located in Matale. Address: NO. 79/5, TRINCOMALE STREET, MATALE."
City Of Gem Museum,Wadduwa,"NO. 17 B, GALLE ROAD, MOLLIGODA, WADDUWA",Tourist Shops,,"City Of Gem Museum is a Tourist Shops located in Wadduwa. Address: NO. 17 B, GALLE ROAD, MOLLIGODA, WADDUWA."
Hemachandra Silks,Kandy,"935,PERADENIYA ROAD,KANDY",Tourist Shops,,"Hemachandra Silks is a Tourist Shops located in Kandy. Address: 935,PERADENIYA ROAD,KANDY."
Lakvidu Gem And Jewellery And Unique Art Gallery,Kandy,"NO 18,COLOMBO STREET,KANDY",Tourist Shops,,"Lakvidu Gem And Jewellery And Unique Art Gallery is a Tourist Shops located in Kandy. Address: NO 18,COLOMBO STREET,KANDY."
Henry Batiks,Dambulla,"SIGIRIYA ROAD, INAMALUWA, DAMBULLA",Tourist Shops,,"Henry Batiks is a Tourist Shops located in Dambulla. Address: SIGIRIYA ROAD, INAMALUWA, DAMBULLA."
Gems Chamber-Gem Bank,N.06 Ehelepola-Gm Bank,N.06 EHELEPOLA-GM BANK,Tourist Shops,,Gems Chamber-Gem Bank is a Tourist Shops located in N.06 Ehelepola-Gm Bank. Address: N.06 EHELEPOLA-GM BANK.
The Exotic,Colombo 03,"45,5TH LANE,COLOMBO 03",Tourist Shops,,"The Exotic is a Tourist Shops located in Colombo 03. Address: 45,5TH LANE,COLOMBO 03."
Taprosilk,Kandy,"N0.658 /A PERADENIYA ROAD, KANDY",Tourist Shops,,"Taprosilk is a Tourist Shops located in Kandy. Address: N0.658 /A PERADENIYA ROAD, KANDY."
House Of Fashion Mega Mall,Colombo 08,"NO 101,D.S SENANAYAKE MW,COLOMBO 08",Tourist Shops,,"House Of Fashion Mega Mall is a Tourist Shops located in Colombo 08. Address: NO 101,D.S SENANAYAKE MW,COLOMBO 08."
Ratnapura Gem Bureau,Ratnapura,"POTHGUL VIHARA MAWATHA,RATNAPURA",Tourist Shops,,"Ratnapura Gem Bureau is a Tourist Shops located in Ratnapura. Address: POTHGUL VIHARA MAWATHA,RATNAPURA."
Lakruka,Naula,"KANDY TRINCOMALEE ROAD,ARANGALA,NAULA",Tourist Shops,,"Lakruka is a Tourist Shops located in Naula. Address: KANDY TRINCOMALEE ROAD,ARANGALA,NAULA."
Handuni'S Gems & Jewellery Export,Kandy,"NO 312/5/2,WARATENNE,HALLOLUWA,KANDY",Tourist Shops,,"Handuni'S Gems & Jewellery Export is a Tourist Shops located in Kandy. Address: NO 312/5/2,WARATENNE,HALLOLUWA,KANDY."
Oak Ray Gem & Jewellery,Kandy,"22D,DEVENI RAJASINGHE MAWATHA GATAMBE,KANDY",Tourist Shops,,"Oak Ray Gem & Jewellery is a Tourist Shops located in Kandy. Address: 22D,DEVENI RAJASINGHE MAWATHA GATAMBE,KANDY."
Khiards,Colombo 03,"TAJ SAMUDRA HOTEL 25,GALLE FACE, COLOMBO 03",Tourist Shops,,"Khiards is a Tourist Shops located in Colombo 03. Address: TAJ SAMUDRA HOTEL 25,GALLE FACE, COLOMBO 03."
E.W.Balasuriya & Co.,Kandy,"7/2,SANGAMITTA MAWATHA,KANDY",Tourist Shops,,"E.W.Balasuriya & Co. is a Tourist Shops located in Kandy. Address: 7/2,SANGAMITTA MAWATHA,KANDY."
Natural Gems & Gemological Museum,Kandy.,"NO.530,COLOMBO ROAD,KIRIBATHKUMBURA,KANDY.",Tourist Shops,,"Natural Gems & Gemological Museum is a Tourist Shops located in Kandy.. Address: NO.530,COLOMBO ROAD,KIRIBATHKUMBURA,KANDY.."
Oak-Ray Creations Batiks - Matale,Matale,"NO. 17, DAMBULLA ROAD, KAUDUPELALLA, MATALE",Tourist Shops,,"Oak-Ray Creations Batiks - Matale is a Tourist Shops located in Matale. Address: NO. 17, DAMBULLA ROAD, KAUDUPELALLA, MATALE."
Ru Shi Gems,Colombo 04.,"NO149,GALLE ROAD,BAMBALAPITIYA,COLOMBO 04.",Tourist Shops,,"Ru Shi Gems is a Tourist Shops located in Colombo 04.. Address: NO149,GALLE ROAD,BAMBALAPITIYA,COLOMBO 04.."
Bazaar And Company,Ahungalla,"INSIDE RIV SRI LANKA RESORT, GALLE ROAD, AHUNGALLA",Tourist Shops,,"Bazaar And Company is a Tourist Shops located in Ahungalla. Address: INSIDE RIV SRI LANKA RESORT, GALLE ROAD, AHUNGALLA."
Ceylon Sapphire Collection,Galle,"NO. 149, COLOMBO ROAD, KALUWELLA, GALLE",Tourist Shops,,"Ceylon Sapphire Collection is a Tourist Shops located in Galle. Address: NO. 149, COLOMBO ROAD, KALUWELLA, GALLE."
Prime Tea Ceylon,Colombo 03,"523/4B, SIRIKOTHA LANE, COLOMBO 03",Tourist Shops,,"Prime Tea Ceylon is a Tourist Shops located in Colombo 03. Address: 523/4B, SIRIKOTHA LANE, COLOMBO 03."
The Silver Jewellery Shop,Colombo 05.,"118/7,JINADASA NIYATHAPALA MAWATHA, NARAHENPITA , COLOMBO 05.",Tourist Shops,,"The Silver Jewellery Shop is a Tourist Shops located in Colombo 05.. Address: 118/7,JINADASA NIYATHAPALA MAWATHA, NARAHENPITA , COLOMBO 05.."
Fine Gem And Jewellery,Colombo 03,"298B,R.A.DE MEL MAWATHA,COLOMBO 03",Tourist Shops,,"Fine Gem And Jewellery is a Tourist Shops located in Colombo 03. Address: 298B,R.A.DE MEL MAWATHA,COLOMBO 03."
Weligama Bay Dive Center,Weligama,"NO 126,KAPPARATHOTA,WELIGAMA",Water Sports Centers,,"Weligama Bay Dive Center is a Water Sports Centers located in Weligama. Address: NO 126,KAPPARATHOTA,WELIGAMA."
Kalpitiya Discovery Diving,Ethalai,"ERUMBUKADAL,KALPITIYA ROAD,ETHALAI",Water Sports Centers,,"Kalpitiya Discovery Diving is a Water Sports Centers located in Ethalai. Address: ERUMBUKADAL,KALPITIYA ROAD,ETHALAI."
De Silva Wind Resort Kalpitiya (Pvt) Ltd,Aluthgama,"19A,KALUWAMODARA,ALUTHGAMA",Water Sports Centers,,"De Silva Wind Resort Kalpitiya (Pvt) Ltd is a Water Sports Centers located in Aluthgama. Address: 19A,KALUWAMODARA,ALUTHGAMA."
Diyakawa Water Sports Centre,Aluthgama,"NO 10,RIVER AVENUE,ALUTHGAMA",Water Sports Centers,,"Diyakawa Water Sports Centre is a Water Sports Centers located in Aluthgama. Address: NO 10,RIVER AVENUE,ALUTHGAMA."
Wind4Love Kite Center-Kalpitiya,Kalpitiya,"KANDAKULIYA,KUDAWA,KALPITIYA",Water Sports Centers,,"Wind4Love Kite Center-Kalpitiya is a Water Sports Centers located in Kalpitiya. Address: KANDAKULIYA,KUDAWA,KALPITIYA."
Kappalady Kitegarden,Puttalam,"KAPPALADY,TALAWILA CHURCH 61344,PUTTALAM",Water Sports Centers,,"Kappalady Kitegarden is a Water Sports Centers located in Puttalam. Address: KAPPALADY,TALAWILA CHURCH 61344,PUTTALAM."
The Rascals Kite Resort,Kalpitiya.,"KUDAWA, KANDAKULIYA, KALPITIYA.",Water Sports Centers,,"The Rascals Kite Resort is a Water Sports Centers located in Kalpitiya.. Address: KUDAWA, KANDAKULIYA, KALPITIYA.."
Kitesurfing Lanka,Kalpitiya,"DUTCH BAY ROAD, KANDAKULIYA, KALPITIYA",Water Sports Centers,,"Kitesurfing Lanka is a Water Sports Centers located in Kalpitiya. Address: DUTCH BAY ROAD, KANDAKULIYA, KALPITIYA."
Blue Water Sports,Trincomalee.,"NO.312, DYKE STREET, TRINCOMALEE.",Water Sports Centers,,"Blue Water Sports is a Water Sports Centers located in Trincomalee.. Address: NO.312, DYKE STREET, TRINCOMALEE.."
Dinuda Resort (Pvt) Ltd,Kalpitiya,"PUDUKUDURIPPU,SETHAWADI,KALPITIYA",Water Sports Centers,,"Dinuda Resort (Pvt) Ltd is a Water Sports Centers located in Kalpitiya. Address: PUDUKUDURIPPU,SETHAWADI,KALPITIYA."
Srilankakite,61360 Kalpitiya.,"DOLPHIN VIEW ECO LODGE,SETHAWADIYA,61360 KALPITIYA.",Water Sports Centers,,"Srilankakite is a Water Sports Centers located in 61360 Kalpitiya.. Address: DOLPHIN VIEW ECO LODGE,SETHAWADIYA,61360 KALPITIYA.."
Funky Fresh,Kalpitiya.,"KANDAKULIYA KUDAWA,NORTH 03,KALPITIYA.",Water Sports Centers,,"Funky Fresh is a Water Sports Centers located in Kalpitiya.. Address: KANDAKULIYA KUDAWA,NORTH 03,KALPITIYA.."
Kite Center Sri Lanka,Dehiwala.,"22/2 1/1,PERERA MAWATHA,KALUBOWILA,DEHIWALA.",Water Sports Centers,,"Kite Center Sri Lanka is a Water Sports Centers located in Dehiwala.. Address: 22/2 1/1,PERERA MAWATHA,KALUBOWILA,DEHIWALA.."
Diving And Sailing Centre (Pvt)Ltd,Weligama,"NO:331,KAPPARATHOTA ROAD,WELIGAMA",Water Sports Centers,,"Diving And Sailing Centre (Pvt)Ltd is a Water Sports Centers located in Weligama. Address: NO:331,KAPPARATHOTA ROAD,WELIGAMA."
The Rafters Retreat,Hilland Group Kithulgala,HILLAND GROUP KITHULGALA,Water Sports Centers,,The Rafters Retreat is a Water Sports Centers located in Hilland Group Kithulgala. Address: HILLAND GROUP KITHULGALA.
Aqua Sportreizen,Dehiwala.,"29B,S.DE.S. JAYASINGHE MAWATHA,KALUBOWILA,DEHIWALA.",Water Sports Centers,,"Aqua Sportreizen is a Water Sports Centers located in Dehiwala.. Address: 29B,S.DE.S. JAYASINGHE MAWATHA,KALUBOWILA,DEHIWALA.."
Kite Beach Villas,Kalpitiya,"SETHAWADI, KUDAWA ROAD, KANDAKULIYA, KALPITIYA",Water Sports Centers,,"Kite Beach Villas is a Water Sports Centers located in Kalpitiya. Address: SETHAWADI, KUDAWA ROAD, KANDAKULIYA, KALPITIYA."
White Waters Edge,Kithulgala,"39KM POST, KITHULGALA",Water Sports Centers,,"White Waters Edge is a Water Sports Centers located in Kithulgala. Address: 39KM POST, KITHULGALA."
Hosannak And Rrd Water Sport Centre,Kalpitiya,"KUDAWA,KANDAKULIYA,KALPITIYA",Water Sports Centers,,"Hosannak And Rrd Water Sport Centre is a Water Sports Centers located in Kalpitiya. Address: KUDAWA,KANDAKULIYA,KALPITIYA."
Poseidon Newrod Water Sport,Upcylon Guest House Moragalla Beruwala,UPCYLON GUEST HOUSE MORAGALLA BERUWALA,Water Sports Centers,,Poseidon Newrod Water Sport is a Water Sports Centers located in Upcylon Guest House Moragalla Beruwala. Address: UPCYLON GUEST HOUSE MORAGALLA BERUWALA.
Borderlands Lanka,No. 22 Batakitta Kitulgala,NO. 22 BATAKITTA KITULGALA,Water Sports Centers,,Borderlands Lanka is a Water Sports Centers located in No. 22 Batakitta Kitulgala. Address: NO. 22 BATAKITTA KITULGALA.
Sunset Araliya Water Sports,Aluthgama.,"GALLE ROAD , KALUWAMODARA , ALUTHGAMA.",Water Sports Centers,,"Sunset Araliya Water Sports is a Water Sports Centers located in Aluthgama.. Address: GALLE ROAD , KALUWAMODARA , ALUTHGAMA.."
Sri Lanka Diving Tours,Pallangathurai Kochchikade,"159/B PORUTOTA ROAD , PALLANGATHURAI KOCHCHIKADE",Water Sports Centers,,"Sri Lanka Diving Tours is a Water Sports Centers located in Pallangathurai Kochchikade. Address: 159/B PORUTOTA ROAD , PALLANGATHURAI KOCHCHIKADE."
Mirissa Watersports (Pvt) Ltd,Mirissa (Mirissa Harbour),"GALLE ROAD,MIRISSA (MIRISSA HARBOUR)",Water Sports Centers,,"Mirissa Watersports (Pvt) Ltd is a Water Sports Centers located in Mirissa (Mirissa Harbour). Address: GALLE ROAD,MIRISSA (MIRISSA HARBOUR)."
Aqua Sportreizen,Passikuda,"NO. 07,COCONAT BOARD ROAD,KALKUDHA,PASSIKUDA",Water Sports Centers,,"Aqua Sportreizen is a Water Sports Centers located in Passikuda. Address: NO. 07,COCONAT BOARD ROAD,KALKUDHA,PASSIKUDA."
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,4.0588235294117645,"Arugam Bay is a Beaches located in Arugam Bay. Address: Arugam Bay, Eastern Province. It has an average rating of 4.1/5. Recent travelers said: I had a manicure here and it really was professional and clean.  It is right on the Ocean so very relaxing. Suzanne was my consultant and her brother Dan who works there was very helpful when the local knowledge.  I will go back for massage and foot masssge. 
They also have s business in Hikkaduwa when you head South.  | Overall, it is a wonderful experience. We visited Arugam bay last month during our anniversary. You will find many things to do from the restaurants to the beautiful white beach. The water was warm, and the tide is calm and really good place for surfing. ItÂs a perfect day to go to the beach and have a picnic. | Great place to chill, swim, surf, eat, shop, have sunset cocktails, itÂs the best!!! The vibe is layback and friendly. I would highly recommend to anybody!."
Bentota Beach,Bentota,"Bentota, Galle District, Southern Province",Beaches,4.587982832618025,"Bentota Beach is a Beaches located in Bentota. Address: Bentota, Galle District, Southern Province. It has an average rating of 4.6/5. Recent travelers said: Beautiful beach so clean.  Golden sand and a beach so peaceful and tranquil.  April 23 The beach was empty a peaceful place take a dab walk and relax.  There are a couple of people trying to sell trips or souvenirs but they don't bother you too much once you say ""No"" | Excellent service, fantastic food, top notch ambience. Historic Cinnamon Bentota (formerly Bentota Beach Hotel). Loved every second of our stay. | Really stunning long and wide white sand beach. Sunbeds but not too many. Plenty of palm trees along the back. Peaceful and serene."
Hikkaduwa Beach,Hikkaduwa,"Hikkaduwa, Galle District, Southern Province",Beaches,4.023474178403756,"Hikkaduwa Beach is a Beaches located in Hikkaduwa. Address: Hikkaduwa, Galle District, Southern Province. It has an average rating of 4.0/5. Recent travelers said: Love the sea turtles and that thereÂs an option to feed them. You can typically buy the seaweed from someone on the beach who also seems to look out for these amazing creatures. Appreciated that he asked the tourists to avoid touching their skin, basically okay to feed and watch them swim so close to shore. | Beautiful  and soo nice 
Turtel and beach is very nice 
We can swim so nicely 
I recommended to visit  hikkaduwa | Beautiful water, un-littered beach, but so many boats and the fuel fumes were nausiating and spoilt the ambiance and experience. Environmentalists and greenies would shudder. Given that most of the coral is dead and yet to regenerate, the glass bottom boat rides should be stopped. I have seen these corals as a kid in the early 70s it was absolutely alive, vibrantly colourful and beautiful. I did another trip in around 2004 the coral was dead, save for two tiny patches where regrowth was starting, the entire coral garden was chalky grey. The Hikkaduwa beach could benefit from environmentalists focus and action.."
Jungle Beach,Unawatuna,"Unawatuna, Galle District, Southern Province",Beaches,3.5355191256830603,"Jungle Beach is a Beaches located in Unawatuna. Address: Unawatuna, Galle District, Southern Province. It has an average rating of 3.5/5. Recent travelers said: It's definitely worth the way if you are looking for that Paradise beach experience. Actually, from Unawatuna center ist just 5 min of tuktuk and 10 min walking. You can do it! There is a great view on the galle bay, clear water, the beach kisses the jungle and palmtrees all around it. Not crowded at all and locals also like to go there a lot. Stop by at Agnus Villa next door for a sunset drink on the rooftop for the most amazing view you can imagine | There is a beautiful view of the Galle city, a lovely bar, but if a boat will starts its engine to go to Galle, you cannot breathe. | This is a nice beach but not maintained properly.  The access to the beach is through a jungle. If some efforts can be taken this will become a awesome experience.."
Kalutara Beach,Kalutara,"Kalutara, Western Province",Beaches,3.665137614678899,"Kalutara Beach is a Beaches located in Kalutara. Address: Kalutara, Western Province. It has an average rating of 3.7/5. Recent travelers said: As a result, they are polluted with plastics and flotsam. Coarse sand/fine gravel is uncomfortable to walk on. The shoreline often slopes rapidly to the sea, which is prone to large waves and undercurrents. Not recommended for very young and/or weak swimmers. | In front of the two hotels Royal Palms Beach and Tangerine, the beach is properly clean. North of these hotels, very dirty and no cleaning whatsoever it seems.

Kalutara administration has a huge potential for improvement if they are really keen on attracting tourists.  | The beach is in a poor  and neglected state. Only good for walks nothing  else. Its better to look for other better beaches around. ."
Marble Beach,Trincomalee,"Trincomalee, Eastern Province",Beaches,3.9655172413793105,"Marble Beach is a Beaches located in Trincomalee. Address: Trincomalee, Eastern Province. It has an average rating of 4.0/5. Recent travelers said: Mediocre beach at best. Not sure whether whoever named this beach knows the actual colour of marble. The shops and general infrastructure at the beach are way past their glory days. Also this beach seems to be a side hustle of the local military. Dunno how I feel about that tbo. There are certainly nicer and more secluded beaches nearby that you should consider instead. | One of the most beautiful and swimmable beaches on the east coast. It's a very good place for a day trip from where ever you are staying in Tricomalee.  | The bays in Trincomalee are some of the nicest calm swimming experience one will ever have. Marble Bay has some Cabanas that you can rent. It is maintained by the military, so getting a room is not through your usual tourist avenues. The rooms are very basic, but comfortable. But the beach makes it worth the effort. We went there during the season which is April through August. We did not travel Sept 2019 but July 2018.."
Mirissa Beach,Mirissa,"Mirissa, Southern Province",Beaches,4.267281105990784,"Mirissa Beach is a Beaches located in Mirissa. Address: Mirissa, Southern Province. It has an average rating of 4.3/5. Recent travelers said: It's a beautiful beach and clean surrounding. The near by Coconut Tree Hill is interesting and picture friendly. | Mirissa Beach is a awesome place in the South of Srilanka.. Great place to chill out have a swim in the ocean and have awesome food | Mirissa beach is one of the most clean and awesome beach in Srilanka, atleast in my opinion.
There is a nice hike at the left end of the beach, where you can climb. The view from the top is amazing and strongly recommended. You get a 360 degree view of the beach and the photos from the top are superb. Must visit.."
Mount Lavinia Beach,Colombo,"Colombo, Western Province",Beaches,4.133333333333334,"Mount Lavinia Beach is a Beaches located in Colombo. Address: Colombo, Western Province. It has an average rating of 4.1/5. Recent travelers said: Famous for its beaches known by many as the ""Golden Mile"" of beaches, Mount Lavinia has been a hot spot for tourism and laid back nightlife. Many beach restaurants scattered on the beach serving continental menus, eastern and local cuisine, fresh seafood beverages and liquor adds color to the area. The golden mile is undoubtedly is the best beach stretch closest to Colombo and attracts the locals in numbers during the evenings. | After a sumptuous lunch, we visited Mount Lavinia's private beach. Despite the hot sun and humidity, my daughter-in-law and 8-year-old granddaughter happily walked a couple of hundred yards in the sand to feel the waters of the Indian Ocean. We all loved the experience of visiting this iconic heritage hotel. | Great way to escape the chaos of Colombo for sunset - truly breathtaking views. Watch the locals and their kids cooling off in the water after work before grabbing some dinner and a cocktail at one of the local restaurants.."
Negombo Beach,Negombo,"Negombo, Western Province",Beaches,3.1196172248803826,"Negombo Beach is a Beaches located in Negombo. Address: Negombo, Western Province. It has an average rating of 3.1/5. Recent travelers said: I arrived in Negombo around 9am, as it was too early to check in to my hotel I dumped my bag and headed to the beach to explore. 

From the moment I set foot onto the beach I was continuously hounded by numerous locals, each trying to sell me something - either a boat trip, or various wares they were trying to flog. 

I just wanted to be left alone, explore, feel the sun on my skin, and enjoy the views. But I didnÂt get one minutes peace. After about half an hour IÂd had enough and left the beach. 

Yes, theyÂre relatively friendly, but itÂs just damn annoying! When one of them is talking to you, you can see about four or five other vendors circling, waiting for them to leave, so they can then pounce. Not a good experience, unfortunately. | The beach is so dirty, full of rubbish with what looks like an oil spill.. such a Health hazardÂÂÂ..    ÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂ.. | Very windy local beach. The sea is not one of the best in Sri Lanka, but the atmosphere is beautiful. Characteristic on weekends, full of local people who come here to swim and spend a day at the beach.."
Nilaveli Beach,Nilaveli,"Nilaveli, Eastern Province",Beaches,4.333333333333333,"Nilaveli Beach is a Beaches located in Nilaveli. Address: Nilaveli, Eastern Province. It has an average rating of 4.3/5. Recent travelers said: We stayed at the Moon Isle Beach Bungalows on the beach and it was simply stunning. Gorgeous sea and lovely sand that was not too spoilt by the typical litter of the region | Beautiful hotel, I had a sea view cottage and was made so welcome here the food is amazing and you are so well looked after. The manager is always at breakfast greeting you and always checking if all is good with you in the evening, long hours! Everyone was super  friendly, they have an amazing pool, the beach is perfection and the Hotel is very well maintained, because it is well run. All the grounds are maintained and picture perfect.

Nilaveli Crab dinner at the beach bar was sublime.

They have a shuttle bus that got me safely back to the international airport at a good price, thank you.

You can book diving, I think they are about to in house a dive school which would be even better. | Beautiful beach, white sand, stretches as far as the eye can see, fishermen bringing in the daily catch, shallow calm water.  A liytle.corner of paradise!!!  Beware of the argumentative black dogs though!."
Passikudah Beach,Kalkudah,"Kalkudah, Eastern Province",Beaches,4.5625,"Passikudah Beach is a Beaches located in Kalkudah. Address: Kalkudah, Eastern Province. It has an average rating of 4.6/5. Recent travelers said: The beach is wide, the sand is warm and the Indian Ocean is hard to beat. Offers a lovely experience. We saw the sunrise, and the sky turned pink at sunset. This is an amazing beach | December is not the season - but very good place to relax and enjoy the nature. Beach was a clean to a certain extent and a place and good for sea bath. Of course we had great pleasure in visiting the place.

its a 6 hour dive from colombo - but worth it. | An absolutely beautiful stretch of beach, with a shallow entry and warm waters to enjoy.

It was a bit rough when we visited, but not at all unswimable (3-4Â waves). The heavy surf did product a thick belt of shells, coral and other items at the entry, and a somewhat deep drop at the shore (which quickly levels off), making getting in or out tricky and uncomfortable on the feet.

The only major negative was the amount of waste, plastics and other random debris in the ocean. It was an ugly situation, and detracted from the natural splendour of the place. Sad the people would be so shortsighted and not respect the beautiful surroundings.."
Gregory Lake,Nuwara Eliya,"Nuwara Eliya, Central Province",Bodies of Water,3.96484375,"Gregory Lake is a Bodies of Water located in Nuwara Eliya. Address: Nuwara Eliya, Central Province. It has an average rating of 4.0/5. Recent travelers said: Quite frankly, and utterly depressing experience given the sheer and shocking volume of plastic waste floating at every shoreline of the lake.  It is made worse by the fact that tourists actually pay to enter the park.  What do they do with the money?  They certainly don't clear up the garbage.

To add to the pollution, speed boats and jetskis tear up and down the small lake continually. Why anyone would want to take a pleasure cruise in this water is beyond me.

Sri Lankan people are in general the friendliest and most generous people you could wish to meet. However, the plastic is becoming a national shame. As a visitor to the country, touring around for six months, the rubbish/garbage/litter in every river, stream and beach is a disgrace. I went for a sea swim and collected 25 plastic bags in 10 minutes. | Move on, nothing to see here. 
Family with young kids could maybe enjoy but very little to see. Food options looks horrible. :| | Beautiful lake with backdrop of mountains and well maintained gardens. Beautiful flowers everywhere. Ideal to relax and spend the day. ."
Kandy Lake,Kandy,"Kandy, Kandy District, Central Province",Bodies of Water,3.9401993355481726,"Kandy Lake is a Bodies of Water located in Kandy. Address: Kandy, Kandy District, Central Province. It has an average rating of 3.9/5. Recent travelers said: We walked around the lake in the morning. Its a nice stroll and we were able to spot lots of wildlife. Loads of fish, egret cranes, and we spotted a water monitor.
The road next to it is pretty noisy and of course you have a million tuk tuk drivers offering you the sights for 1000rs
Even a gentleman that pointed out turtles seemed just helpful... Until he mentions his tuk tuk.
Another dance teacher sparked up a conversation, told us we were lucky to be in Kandy because there's a special festival. High up Buddhists and dancers would be there and it's only for tourists, no locals. How lucky to be here on that day! We followed him to see the program, turns out its the cultural show you'll no doubt read about elsewhere... But happens nightly I believe.

Loads of birds on the far side (away from the temple of tooth) and loads of bat's in the trees on the side of the temple.

Nice walk just be prepared to get accosted. Of course! | Not the tranquil walk we expected. ItÂs difficult to take in the lakeÂs beauty without getting distracted by the noisy fuel laden traffic.  | It is a must because the temple is here, also the museum of World Buddhist , National Museum  and Royal Bath and more. Beautiful shore to stroll on.."
Tissa Wewa,Tissamaharama,"Tissamaharama, Southern Province",Bodies of Water,4.428571428571429,"Tissa Wewa is a Bodies of Water located in Tissamaharama. Address: Tissamaharama, Southern Province. It has an average rating of 4.4/5. Recent travelers said: It's a beautiful lake with fresh water near to Tissamaharama temple. It's better to do a boat tour in the evening. Many species of birds can be seen it the middle island of the lake. As well as a lot of birds can be seen. I really enjoy the boat tour. Highly recommend. | Nice place for an evening or early morning walk-around. It is a man made reservoir constructed in the 3rd century B.C. Nice view of Tissa Raja Maha vihara Dagoba (stupa) with green paddy fields in background from here. | we visited this area since there are several place of ancient. The big pagoda is a lovely site just closer to the lake here. lovely place. walked quite a lot of distance here. and a good place for a walk too.."
Twin Baths (Kuttam Pokuna),Anuradhapura,"Anuradhapura, North Central Province",Bodies of Water,3.8900523560209423,"Twin Baths (Kuttam Pokuna) is a Bodies of Water located in Anuradhapura. Address: Anuradhapura, North Central Province. It has an average rating of 3.9/5. Recent travelers said: The Twin Baths are absolutely huge and considering how long ago they were commissioned and built, they represent a truly remarkable feat of engineering.
As the name suggests there are two ornate stepped baths side by side with beautiful carved steps and gates. There are two pools, one for the monks to wash and cleanse themselves and one to enter when washed and essentially rinse!
There is a working filter system at one end that keeps the water relatively clean but the guide says they are totally drained before the monsoons so as to allow new water to accumulate during the rains.
We'll worth a short stop, great for pictures.  | The trees were flowering during our visit in July, which made this particularly beautiful to visit and photograph. It wasnÂt too busy so could photograph without tourists popping into frame all the time. Interesting construction. Could use more English language details on history and construction and use.  | So this place has massive potential but even the local guides arenÂt quite sure what was happening here. Suggest coming up with a cool story of kings and BuddhaÂs of past that resonates with people and going with it. Monkeys all over the joint. ."
